区站号,平均气温,最高气温,最低气温,平均相对湿度,最小相对湿度,平均气压,最高本站气压,最低本站气压,平均2分钟风速,极大风速,20-20时降水量,日,月,年,纬度,经度,测站高度,站名,省名,地市名,区县名,Unnamed: 23
56285,12.4,18.6,8.8,80,44,951.6,953.3,949,1.1,6.6,0,5,3,2021,30.5639,103.4653,544.7,大邑国家基本气象站,四川省,成都市,大邑县,999999 未编报缺测
56443,6.9,14.2,-1.2,39.8,22,717.4,719.9,713.9,3.4,15.6,0,5,3,2021,28.9369,99.8031,2844.2,乡城,四川省,甘孜藏族自治州,乡城县,
56459,11.3,16,6.8,35.5,27,760.5,762.1,758.1,2.4,11.7,0,5,3,2021,27.9333,101.275,2426.5,木里,四川省,凉山彝族自治州,木里藏族自治县,
56475,10.1,17.4,4.4,65.3,36,830,832.7,825.9,1.5,8.5,0,5,3,2021,28.65,102.5167,1659.5,越西,四川省,凉山彝族自治州,越西县,
56494,14.8,20.5,11.2,65.8,40,969.7,971.5,966.5,2.4,7.1,0,5,3,2021,28.8394,104.3325,386.4,屏山,四川省,宜宾市,屏山县,
56575,19.8,23.9,16.5,24,19,841.9,843.6,839.3,4.2,16,0,5,3,2021,27.3731,102.5478,1530.7,普格,四川省,凉山彝族自治州,普格县,
56674,20,26.5,13.9,24.5,14,866.6,868.6,864,3.5,11.9,0,5,3,2021,26.4947,101.7492,1280.6,仁和国家气象观测站,四川省,攀枝花市,仁和区,
56190,11.8,17.8,8.8,80.3,46,954.6,956.5,952.5,1,4.9,0,5,3,2021,31.55,104.55,519.4,安州,四川省,绵阳市,安州区,
56194,12.2,17.2,9.7,75,50,945.9,947.7,943.9,1.4,8.2,0,5,3,2021,31.6333,104.45,597.2,北川,四川省,绵阳市,北川羌族自治县,
56272,12.7,17.8,9.5,74.5,45,950.1,951.7,947.8,1.2,5.1,0,5,3,2021,30.8167,103.8833,558.5,郫都,四川省,成都市,郫都区,
56498,13.3,18.7,10,76.5,48,951.7,953.5,948.4,1.3,5.5,0,5,3,2021,28.1542,104.5042,547,筠连,四川省,宜宾市,筠连县,
57216,10.8,14.3,9,74.8,59,947.9,949.1,946.1,1.1,3.4,0,5,3,2021,32.35,106.8333,579.3,南江,四川省,巴中市,南江县,
57413,11.8,15.1,9.8,78.5,59,979,980.5,977.2,1.4,4.1,0,5,3,2021,30.8564,106.9983,305.7,渠县,四川省,达州市,渠县,
56490,14.2,20.5,10.4,74.3,42,965.9,967.7,962.4,1.2,5,0,5,3,2021,28.9508,103.8983,424,沐川,四川省,乐山市,沐川县,
56671,15.1,21.4,7.5,36.5,20,817,818.9,814.7,2.2,13,0,5,3,2021,26.65,102.25,1787.3,会理,四川省,凉山彝族自治州,会理市,
57303,10.8,13.9,8,78,63,961.4,962.5,959.8,0.5,3.8,0,5,3,2021,31.7333,105.9167,459.9,苍溪,四川省,广元市,苍溪县,
57309,12.3,17.5,7.5,72,47,970.4,971.9,968.5,1.3,4.7,0,5,3,2021,30.9786,105.8819,378.4,西充,四川省,南充市,西充县,
57600,13.5,19.4,10.7,79.5,49,965.9,967.9,963.1,1.8,4.6,0,5,3,2021,28.7117,105.0603,421.1,江安,四川省,宜宾市,江安县,
56280,12.5,18.4,8.3,78.5,42,935.4,936.9,932.5,1.3,6,0,5,3,2021,30.0833,103.1167,691.3,名山,四川省,雅安市,名山区,
56371,11.2,16.4,8.8,51.5,31,854.4,856.6,850.4,2.1,9.1,0,5,3,2021,29.8878,102.2131,1403.2,泸定,四川省,甘孜藏族自治州,泸定县,
56487,7.8,17.2,2.5,65.3,31,802,804.4,796.8,2.2,7.6,0,5,3,2021,28.3333,103.1333,1943.9,美姑,四川省,凉山彝族自治州,美姑县,
56499,13.1,17.8,10.1,78.8,54,956.1,958,953.1,1.5,5.9,0,5,3,2021,28.4453,104.7128,508,珙县,四川省,宜宾市,珙县,
56569,16.7,25.7,10.1,36,18,855.7,857.7,853,2.8,12.4,0,5,3,2021,27.4167,102.1833,1380,德昌,四川省,凉山彝族自治州,德昌县,
57206,11,17.1,6.6,73.8,47,951.6,953.2,949.4,1.2,6.1,0,5,3,2021,32.4244,105.8997,545.4,广元,四川省,广元市,利州区,
57324,11.2,13.4,9.7,82.3,70,972.2,973.4,970.8,1,2.8,0,5,3,2021,31.5833,107.0833,364.2,平昌,四川省,巴中市,平昌县,
56144,4.4,11.9,-1.2,47.8,19,682.6,684.3,679.7,1.4,10.9,999990,5,3,2021,31.8033,98.5764,3224.6,德格基本气象站,四川省,甘孜藏族自治州,德格县,
57401,13.3,17.8,9.7,67.3,46,970.1,971.4,967.9,1.2,5.1,0,5,3,2021,30.8667,105.3667,383.3,射洪站,四川省,遂宁市,射洪市,
57415,12.3,16.4,10.1,74.8,53,971.1,972.7,969.5,1.1,4.8,0,5,3,2021,30.5219,106.6403,372.3,广安,四川省,广安市,广安区,
56380,13.4,19.5,8.7,74,45,948.8,950.5,945.8,1.4,5.1,0.2,5,3,2021,29.8764,103.3581,571.2,洪雅,四川省,眉山市,洪雅县,
56383,14,20.7,9.7,70,37,962,963.7,958.9,1.8,5.3,0,5,3,2021,29.8333,103.8667,455.2,青神国家气象观测站,四川省,眉山市,青神县,
56670,19,26.7,11.1,35.3,14,880.8,883.2,877.7,3,9.6,0,5,3,2021,26.9167,102.1167,1136.9,米易,四川省,攀枝花市,米易县,
57405,13.5,18.1,10.7,65.8,44,973.2,974.7,971.1,1.1,3.6,0,5,3,2021,30.5,105.55,355,遂宁国家基本气象站,四川省,遂宁市,船山区,
57608,11.3,14.5,9.6,88,68,951.8,953.6,949.4,1.7,3.8,0.9,5,3,2021,28.19,105.4064,548.4,叙永,四川省,泸州市,叙永县,
56374,2.5,9,0.1,77.8,46,739.8,741.3,736.9,3.3,14,0,5,3,2021,30.055,101.9606,2606.3,康定,四川省,甘孜藏族自治州,康定市,
57313,10.4,12.9,9.1,85.5,66,950.3,951.5,949.1,0.8,4,0.3,5,3,2021,31.8872,106.785,556.7,巴中,四川省,巴中市,巴州区,
57503,14.8,20.4,11.2,64.3,40,973.8,975.6,971.3,1.8,4.8,0,5,3,2021,29.6167,105.1167,349.7,东兴区,四川省,内江市,东兴区,
56186,12.7,18.5,9.1,72,40,946.7,948.3,944.4,1.4,5.3,0,5,3,2021,31.3333,104.2,589,绵竹,四川省,德阳市,绵竹市,
56298,14.4,19.1,10.6,62.8,44,966.6,968.2,963.9,2.5,8.9,0,5,3,2021,30.0683,104.6581,414.2,资阳,四川省,资阳市,雁江区,
56395,15.6,20.1,12.5,60,43,973.6,975.4,971.2,1.8,5.8,0,5,3,2021,29.5167,104.6667,351.1,威远,四川省,内江市,威远县,
56273,10.4,15.6,7.5,84.5,58,922.4,923.9,919.6,0.7,3.6,0.1,5,3,2021,30.2408,102.8386,814,宝兴,四川省,雅安市,宝兴县,
56291,13.4,18.6,9.8,71,41,960.5,962.1,958.2,1.4,4.9,0,5,3,2021,30.965,104.3058,468,广汉,四川省,德阳市,广汉市,
56578,21.2,28.1,16.6,26,15,882.1,884.6,879.2,1.6,10.2,0,5,3,2021,27.0667,102.75,993.6,宁南,四川省,凉山彝族自治州,宁南县,
56665,18.5,27.3,9.8,37.5,16,880.8,883.2,877.8,2.5,12.9,0,5,3,2021,26.6833,101.85,1140.3,盐边站,四川省,攀枝花市,盐边县,
57306,11.7,15.2,8.9,75.3,57,970.2,971.2,968.4,1.2,3.9,0,5,3,2021,31.5842,105.9775,382.6,阆中,四川省,南充市,阆中市,
57420,11.3,12.9,10.1,83,64,966,967.3,964.4,1.3,3.6,0,5,3,2021,30.7542,107.1864,418,大竹,四川省,达州市,大竹县,
56284,12.8,19.2,8.9,79.8,43,954.7,956.4,952,1,6.7,0,5,3,2021,30.4433,103.4386,518.5,邛崃,四川省,成都市,邛崃市,
56288,13.1,18,9.6,74.3,47,957.3,958.9,954.7,0.8,4.2,0,5,3,2021,30.5833,103.9167,494.6,双流,四川省,成都市,双流区,
56290,13,18.4,9.6,69.5,40,955.1,956.7,952.7,1.1,4.6,0,5,3,2021,30.7778,104.1803,514.5,新都,四川省,成都市,新都区,
56473,14.8,21.5,11.1,45.3,27,893.3,896.3,889,2.4,9.1,0,5,3,2021,28.95,102.7667,1060.3,甘洛,四川省,凉山彝族自治州,甘洛县,
56584,13.8,19,9.9,51,34,888.8,891.7,885,1.1,5.8,0,5,3,2021,27.7,103.25,1093,金阳,四川省,凉山彝族自治州,金阳县,
56666,19.5,26,13.2,30.8,15,872.2,874.4,869.5,1.9,15.1,0,5,3,2021,26.5761,101.72,1224.8,攀枝花,四川省,攀枝花市,攀枝花市,
56188,11.1,16.4,7.7,83.5,51,935.6,937.1,933.5,0.6,4.2,0,5,3,2021,30.9958,103.6736,689.1,都江堰,四川省,成都市,都江堰市,
56189,12.7,17.7,9.1,72,43,947.7,949.3,945.4,1.3,5.3,0,5,3,2021,30.9833,103.9333,581.7,彭州,四川省,成都市,彭州市,
56164,2.2,8.6,-1.1,74.8,34,677.7,678.9,674.7,0.7,13.6,6.2,5,3,2021,32.2742,100.9642,3292.9,壤塘,四川省,阿坝藏族羌族自治州,壤塘县,
56173,-1.6,4.2,-5.5,80.3,45,661.5,662.6,659.8,1.3,6.4,2.9,5,3,2021,32.7931,102.5497,3496.8,红原,四川省,阿坝藏族羌族自治州,红原县,
56182,2.7,8,-1.8,68,41,714.4,715.9,711.1,3,7.7,0.4,5,3,2021,32.6708,103.6033,2881.3,松潘,四川省,阿坝藏族羌族自治州,松潘县,
56197,12.8,17.8,9.2,75,43,952.7,954.3,950.5,1.2,4.9,0,5,3,2021,31.15,104.1667,535.7,什邡,四川省,德阳市,什邡市,
56297,14.6,19.9,11,66.5,44,964,965.7,961.3,2.5,7,0,5,3,2021,30.0425,104.1392,435.4,仁寿国家气象观测站,四川省,眉山市,仁寿县,
56097,9.4,13.3,5.6,60,43,854.7,856.1,852.2,1.8,6.6,0,5,3,2021,33.2606,104.2456,1440.5,九寨沟,四川省,阿坝藏族羌族自治州,九寨沟县,
56158,2.1,9.1,-1.7,76,25,667.5,668.8,663.8,2.4,19,0.1,5,3,2021,31.3858,100.6636,3414.4,炉霍,四川省,甘孜藏族自治州,炉霍县,
56181,12,17.4,8.5,79.5,47,952.1,953.7,949.7,1.1,5.2,0,5,3,2021,30.6833,103.7,541.7,崇州,四川省,成都市,崇州市,
56195,11.5,17,8.1,78,47,952.1,953.8,950,0.9,3.7,0,5,3,2021,31.8,104.7333,543.1,江油,四川省,绵阳市,江油市,
56276,13.3,18.3,10,74.8,46,960.5,962.1,957.9,1.1,5.2,0,5,3,2021,30.45,103.8167,467,新津,四川省,成都市,新津区,
56295,14.4,19.5,11.2,63.5,42,962.3,963.9,960.1,1.2,7.8,0,5,3,2021,30.3833,104.55,448.5,简阳,四川省,成都市,简阳市,
56376,13,18.8,9.9,52.8,33,889.4,891.7,885.9,2.9,10.1,0,5,3,2021,29.3436,102.6367,1098,汉源,四川省,雅安市,汉源县,
57318,11.6,14.2,8.9,73,55,967.3,968.7,966,1.6,4.3,0,5,3,2021,31.0553,106.5811,406.2,营山,四川省,南充市,营山县,
56187,12.4,17.1,8.6,74,45,951.4,952.9,949,0.8,4.8,0,5,3,2021,30.7489,103.8611,547.7,温江气候观象台,四川省,成都市,温江区,
56168,12.3,18,6.7,50.5,24,776,779.6,770.2,1.7,14.2,1.2,5,3,2021,31.475,102.0703,2174.8,金川,四川省,阿坝藏族羌族自治州,金川县,
57328,12.8,14.7,11.7,74.5,58,974.4,975.7,972.6,0.9,3,0,5,3,2021,31.2075,107.5067,344.9,达川,四川省,达州市,达川区,
57411,13.2,17.3,10.4,67.8,48,974.1,975.5,972.2,1.5,6.8,0,5,3,2021,30.7456,106.1319,347,高坪,四川省,南充市,高坪区,
57414,12.4,17.1,10.3,75.3,46,967.6,969.1,965.9,1.6,4.9,0,5,3,2021,30.5167,106.45,403.7,岳池,四川省,广安市,岳池县,
57417,13.8,18.1,11.9,66.3,44,977.7,979.3,975.8,0.9,3.7,0,5,3,2021,30.35,106.2833,315.9,武胜,四川省,广安市,武胜县,
57508,15.2,19.5,12.8,65.3,42,979.3,981.4,977,1.6,4.4,0,5,3,2021,29.16,105.3814,301,泸县,四川省,泸州市,泸县,
57603,14.4,18.9,11.9,78.5,53,981.8,983.8,979.3,1.3,4.4,0,5,3,2021,28.8111,105.8272,283.4,合江,四川省,泸州市,合江县,
56152,-2.9,2.2,-6.3,78.3,47,628.4,629.6,626.7,1.2,13.4,7.7,5,3,2021,32.275,100.3339,3898.7,色达,四川省,甘孜藏族自治州,色达县,
56167,6.2,15.5,-1.8,47,17,700.6,703.2,697.5,2.5,14.2,0,5,3,2021,30.9714,101.1186,3008.6,道孚,四川省,甘孜藏族自治州,道孚县,
56185,6.5,11.1,2.8,70,43,757.2,759.5,754.8,2,7.4,7.3,5,3,2021,32.08,102.98,2399.4,黑水,四川省,阿坝藏族羌族自治州,黑水县,
56592,14.6,20.1,11.5,70.3,40,971.2,973.2,967.5,1.2,7.2,0,5,3,2021,28.4406,104.5036,378.1,高县,四川省,宜宾市,高县,
56267,9,17.9,1.4,37.3,14,733.6,736.3,728.7,1.9,13.4,0,5,3,2021,30.0325,101.0189,2635.6,雅江,四川省,甘孜藏族自治州,雅江县,
